Fecha;Tmaxima;Tminima
01/09/2023;35;24
02/09/2023;36;23
03/09/2023;36;25
04/09/2023;34;23
05/09/2023;35;23
06/09/2023;33;23
07/09/2023;35;22
08/09/2023;36;22
09/09/2023;36;23
10/09/2023;34;23
11/09/2023;35;22
12/09/2023;36;24
13/09/2023;36;22
14/09/2023;31;21
15/09/2023;29;21
16/09/2023;33;22
17/09/2023;36;24
18/09/2023;36;22
19/09/2023;33;23
20/09/2023;34;22
21/09/2023;34;24
22/09/2023;36;24
23/09/2023;37;24
24/09/2023;37;24
25/09/2023;36;23
26/09/2023;36;23
27/09/2023;38;25
28/09/2023;38;26
29/09/2023;33;23
30/09/2023;30;23
