Fecha,Tmaxima,Tminima
2023-01-09,[25.316317],[18.281715]
2023-01-10,[26.820349],[17.1397]
2023-01-11,[27.701122],[17.354675]
2023-01-12,[25.999044],[16.494133]
2023-01-13,[28.11676],[16.726759]
2023-01-14,[27.515345],[18.030598]
2023-01-15,[27.269993],[15.922432]
2023-01-16,[27.599424],[17.380173]
2023-01-17,[29.037357],[18.319284]
2023-01-18,[25.164745],[18.122252]
2023-01-19,[28.563904],[17.273832]
2023-01-20,[29.532913],[18.424597]
2023-01-21,[26.287014],[18.033413]
2023-01-22,[26.95956],[17.22026]
2023-01-23,[25.854254],[16.136074]
2023-01-24,[28.931135],[16.646702]
2023-01-25,[27.620403],[18.377043]
2023-01-26,[26.993252],[16.896574]
2023-01-27,[24.62637],[16.927301]
2023-01-28,[28.693237],[17.35441]
2023-01-29,[24.979212],[16.531548]
2023-01-30,[26.98226],[18.199923]
2023-01-31,[29.4702],[17.159441]
2023-02-01,[27.723873],[16.62243]
2023-02-02,[28.786598],[17.412764]
2023-02-03,[27.66331],[16.139954]
2023-02-04,[27.725681],[16.375792]
2023-02-05,[25.517427],[16.839731]
2023-02-06,[27.164936],[16.636732]
2023-02-07,[27.783684],[17.519419]
2023-02-08,[27.735918],[16.996668]
2023-02-09,[28.778118],[18.396301]
2023-02-10,[29.202587],[16.359526]
2023-02-11,[29.48877],[15.802048]
2023-02-12,[26.056614],[15.965792]
2023-02-13,[25.084639],[18.145323]
2023-02-14,[27.611803],[17.662804]
2023-02-15,[26.192379],[15.814152]
2023-02-16,[28.370214],[15.982952]
2023-02-17,[26.50345],[16.622238]
2023-02-18,[28.672085],[18.59833]
2023-02-19,[29.6445],[18.102484]
2023-02-20,[29.211975],[17.049782]
2023-02-21,[26.862698],[16.228533]
2023-02-22,[28.982407],[17.255985]
2023-02-23,[25.460777],[17.457804]
2023-02-24,[27.6974],[18.33389]
2023-02-25,[26.661562],[16.033255]
2023-02-26,[26.136744],[17.615194]
2023-02-27,[29.468536],[17.601765]
2023-02-28,[26.624748],[18.36756]
2023-03-01,[27.295197],[16.55028]
2023-03-02,[27.86066],[16.429827]
2023-03-03,[27.494797],[17.919756]
2023-03-04,[27.987095],[16.98041]
2023-03-05,[29.052082],[16.80946]
2023-03-06,[26.473633],[16.9011]
2023-03-07,[27.474756],[17.322426]
2023-03-08,[26.958553],[16.404104]
2023-03-09,[28.44575],[16.584126]
2023-03-10,[27.389568],[16.488853]
2023-03-11,[28.149105],[18.491695]
2023-03-12,[26.049469],[17.363064]
2023-03-13,[28.984966],[18.026205]
2023-03-14,[27.784286],[18.054203]
2023-03-15,[28.552624],[18.169958]
2023-03-16,[26.568892],[16.84662]
2023-03-17,[25.56986],[16.37254]
2023-03-18,[26.091759],[17.07705]
2023-03-19,[28.46412],[17.846546]
2023-03-20,[29.32711],[18.32174]
2023-03-21,[28.344116],[17.540129]
2023-03-22,[29.531033],[16.083593]
2023-03-23,[27.256176],[16.29308]
2023-03-24,[27.787462],[18.36059]
2023-03-25,[27.724377],[18.001575]
2023-03-26,[25.716293],[16.999289]
2023-03-27,[28.795738],[16.564497]
2023-03-28,[26.478817],[15.953722]
2023-03-29,[26.696972],[16.674574]
2023-03-30,[27.019144],[18.232038]
2023-03-31,[29.221302],[16.086508]
2023-04-01,[27.357286],[16.395401]
2023-04-02,[28.160683],[18.658741]
2023-04-03,[29.457115],[16.59713]
2023-04-04,[27.869104],[15.986898]
2023-04-05,[28.800573],[16.10432]
2023-04-06,[27.670208],[17.897669]
2023-04-07,[26.815557],[17.179102]
2023-04-08,[26.491253],[18.06958]
2023-04-09,[26.73494],[18.623491]
2023-04-10,[29.479385],[16.796782]
2023-04-11,[27.139904],[16.26425]
2023-04-12,[25.942852],[18.23499]
2023-04-13,[26.045746],[18.159176]
2023-04-14,[24.748812],[18.142857]
2023-04-15,[26.2033],[18.17692]
2023-04-16,[29.511002],[17.760921]
2023-04-17,[27.310534],[17.754911]
2023-04-18,[26.055874],[16.190252]
2023-04-19,[28.651314],[17.74649]
2023-04-20,[24.805126],[16.663921]
2023-04-21,[27.605995],[17.142569]
2023-04-22,[29.282974],[17.364285]
2023-04-23,[27.995443],[17.596083]
2023-04-24,[28.88247],[18.04076]
2023-04-25,[24.680706],[16.048534]
2023-04-26,[28.074966],[17.937674]
2023-04-27,[26.923306],[18.425838]
2023-04-28,[25.159765],[17.677351]
2023-04-29,[25.524048],[16.268276]
2023-04-30,[28.943314],[16.627314]
2023-05-01,[27.284834],[15.937464]
2023-05-02,[27.898083],[18.547485]
2023-05-03,[27.03891],[17.436022]
2023-05-04,[26.598303],[17.349295]
2023-05-05,[24.889816],[17.143442]
2023-05-06,[27.519148],[17.707207]
2023-05-07,[27.763937],[17.84548]
2023-05-08,[25.957867],[16.698948]
2023-05-09,[28.344261],[17.58615]
2023-05-10,[29.594025],[17.95122]
2023-05-11,[25.404837],[15.888298]
2023-05-12,[24.69764],[16.74225]
2023-05-13,[28.331024],[16.40121]
2023-05-14,[25.07702],[17.74142]
2023-05-15,[27.804989],[16.83422]
2023-05-16,[28.896],[17.358047]
2023-05-17,[26.325764],[17.46367]
2023-05-18,[28.239796],[16.321886]
2023-05-19,[27.567066],[17.297556]
2023-05-20,[28.923168],[17.224316]
2023-05-21,[27.31495],[17.61911]
2023-05-22,[27.344715],[18.660791]
